msa,msa_name,fipstate,fipscty,county_name,latitude,longitude
12740,"Barre, VT Micro Area",50,23,"Washington County, Vermont",44.2690924,-72.6146505
12780,"Bartlesville, OK Micro Area",40,147,"Washington County, Oklahoma",36.6930592,-95.9078261
12860,"Batavia, NY Micro Area",36,37,"Genesee County, New York",43.0102726,-78.1780196
12900,"Batesville, AR Micro Area",5,63,"Independence County, Arkansas",35.718344,-91.55326
12940,"Baton Rouge, LA Metro Area",22,5,"Ascension Parish, Louisiana",30.2116442,-90.9186104
12980,"Battle Creek, MI Metro Area",26,25,"Calhoun County, Michigan",42.2461339,-85.0229223
13020,"Bay City, MI Metro Area",26,17,"Bay County, Michigan",43.6957567,-83.9402747
13060,"Bay City, TX Micro Area",48,321,"Matagorda County, Texas",28.8879823,-96.0035095
13100,"Beatrice, NE Micro Area",31,67,"Gage County, Nebraska",40.2469449,-96.7021336
13140,"Beaumont-Port Arthur, TX Metro Area",48,199,"Hardin County, Texas",30.3049642,-94.403904
13180,"Beaver Dam, WI Micro Area",55,27,"Dodge County, Wisconsin",43.413614,-88.7177834
13220,"Beckley, WV Metro Area",54,19,"Fayette County, West Virginia",38.0331608,-81.0722238
13260,"Bedford, IN Micro Area",18,93,"Lawrence County, Indiana",38.8400395,-86.4880717
13300,"Beeville, TX Micro Area",48,25,"Bee County, Texas",28.3871179,-97.7191838
13340,"Bellefontaine, OH Micro Area",39,91,"Logan County, Ohio",40.4430521,-83.7414465
13380,"Bellingham, WA Metro Area",53,73,"Whatcom County, Washington",48.8107819,-121.8828175
13420,"Bemidji, MN Micro Area",27,7,"Beltrami County, Minnesota",47.9978537,-94.8799011
13460,"Bend, OR Metro Area",41,13,"Crook County, Oregon",44.1460291,-120.3839476
13540,"Bennington, VT Micro Area",50,3,"Bennington County, Vermont",43.0125713,-73.1473048
13660,"Big Rapids, MI Micro Area",26,107,"Mecosta County, Michigan",43.6375503,-85.3168199
13700,"Big Spring, TX Micro Area",48,227,"Howard County, Texas",32.3047833,-101.4271085
13740,"Billings, MT Metro Area",30,9,"Carbon County, Montana",45.2050058,-109.1434792
13780,"Binghamton, NY Metro Area",36,7,"Broome County, New York",42.1455623,-75.8404114
13820,"Birmingham, AL Metro Area",1,7,"Bibb County, Alabama",32.971079,-87.1227088
13860,"Bishop, CA Micro Area",6,27,"Inyo County, California",36.5595325,-117.4074712
13900,"Bismarck, ND Metro Area",38,15,"Burleigh County, North Dakota",46.9498874,-100.5127667
13940,"Blackfoot, ID Micro Area",16,11,"Bingham County, Idaho",43.1881598,-112.3598354
13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",51,63,"Floyd County, Virginia",36.9157056,-80.3876889
14010,"Bloomington, IL Metro Area",17,113,"McLean County, Illinois",40.4631789,-88.8196613
14020,"Bloomington, IN Metro Area",18,105,"Monroe County, Indiana",39.1296076,-86.5186372
