msa,Total_Homes,Occupied_Homes,Vacant_Homes,Vacant_Homes_Percent
"Fergus Falls, MN Micro Area",36506,25123,11383,31.181175697145676
"Fernley, NV Micro Area",24401,22704,1697,6.954633006843982
"Findlay, OH Micro Area",33655,31107,2548,7.570940424899717
"Fitzgerald, GA Micro Area",8124,7074,1050,12.924667651403249
"Flagstaff, AZ Metro Area",69108,51320,17788,25.73942235341784
"Flint, MI Metro Area",183087,167118,15969,8.722082944174081
"Florence, SC Metro Area",89973,80276,9697,10.777677747768776
"Florence-Muscle Shoals, AL Metro Area",72251,63969,8282,11.462817123638427
"Fond du Lac, WI Metro Area",45740,42824,2916,6.375163970266725
"Forest City, NC Micro Area",32444,26652,5792,17.85229934656639
"Forrest City, AR Micro Area",9565,8470,1095,11.447987454260323
"Fort Collins, CO Metro Area",158769,144360,14409,9.075449237571567
"Fort Dodge, IA Micro Area",16937,15046,1891,11.164905237054969
"Fort Leonard Wood, MO Micro Area",19315,16902,2413,12.492881180429718
"Fort Madison-Keokuk, IA-IL-MO Micro Area",28026,24344,3682,13.137800613715836
"Fort Morgan, CO Micro Area",11493,10519,974,8.474723744888193
"Fort Payne, AL Micro Area",30584,27145,3439,11.244441538059116
"Fort Polk South, LA Micro Area",21953,18761,3192,14.540153965289482
"Fort Smith, AR-OK Metro Area",107795,96313,11482,10.651699986084697
"Fort Wayne, IN Metro Area",177268,165547,11721,6.612022474445473
"Frankfort, IN Micro Area",13450,12421,1029,7.650557620817844
"Frankfort, KY Micro Area",34044,31207,2837,8.333333333333332
"Fredericksburg, TX Micro Area",14128,11486,2642,18.7004530011325
"Freeport, IL Micro Area",21369,19184,2185,10.225092423604288
"Fremont, NE Micro Area",16191,14813,1378,8.510901117905009
"Fremont, OH Micro Area",26479,24444,2035,7.685335548925563
"Fresno, CA Metro Area",338441,319296,19145,5.6568205388827
"Gadsden, AL Metro Area",47306,41974,5332,11.271297509829619
"Gaffney, SC Micro Area",24713,22349,2364,9.565815562659328
"Gainesville, FL Metro Area",151720,137030,14690,9.682309517532296
"Gainesville, GA Metro Area",76865,71022,5843,7.601639237624407
"Gainesville, TX Micro Area",17716,15738,1978,11.165048543689322
"Galesburg, IL Micro Area",23817,20851,2966,12.453289667044547
"Gallup, NM Micro Area",25057,22659,2398,9.570179989623657
"Garden City, KS Micro Area",15766,14491,1275,8.087022707091208
"Gardnerville Ranchos, NV Micro Area",24309,21400,2909,11.966761281829775
"Georgetown, SC Micro Area",35916,27231,8685,24.181423321082526
"Gettysburg, PA Metro Area",43007,40270,2737,6.364080266003208
"Gillette, WY Micro Area",26894,23561,3333,12.393098832453335
"Glasgow, KY Micro Area",24485,21866,2619,10.696344700837248
"Glens Falls, NY Metro Area",68926,53574,15352,22.27316252212518
"Glenwood Springs, CO Micro Area",37336,30391,6945,18.601349903578317
"Gloversville, NY Micro Area",28087,22390,5697,20.28340513404778
"Goldsboro, NC Metro Area",52551,45997,6554,12.471694163764724
"Granbury, TX Micro Area",28321,24811,3510,12.393630168426256
"Grand Forks, ND-MN Metro Area",48051,43192,4859,10.11217248340305
"Grand Island, NE Metro Area",31572,29493,2079,6.584948688711517
"Grand Junction, CO Metro Area",67407,63133,4274,6.340587772783242
"Grand Rapids, MN Micro Area",25375,18968,6407,25.24926108374384
"Grand Rapids-Kentwood, MI Metro Area",431852,406158,25694,5.9497235163898745
"Grants, NM Micro Area",11099,9080,2019,18.19082800252275
"Grants Pass, OR Metro Area",38748,36024,2724,7.030040260142459
"Great Bend, KS Micro Area",12370,10640,1730,13.985448666127729
"Great Falls, MT Metro Area",38937,35011,3926,10.082954516269872
"Greeley, CO Metro Area",119962,113995,5967,4.974075123789199
"Green Bay, WI Metro Area",145929,133007,12922,8.854991125821462
"Greeneville, TN Micro Area",32154,28738,3416,10.623872613049699
"Greensboro-High Point, NC Metro Area",337732,312232,25500,7.5503653784657665
"Greensburg, IN Micro Area",11512,10472,1040,9.034051424600417
"Greenville, MS Micro Area",20879,17954,2925,14.00929163274103
"Greenville, NC Metro Area",80515,70016,10499,13.039806247283114
"Greenville, OH Micro Area",22599,20925,1674,7.4074074074074066
"Greenville-Anderson, SC Metro Area",402999,366509,36490,9.054613038742032
"Greenwood, MS Micro Area",17546,15098,2448,13.951897868460048
"Greenwood, SC Micro Area",31323,28123,3200,10.216135108386808
"Grenada, MS Micro Area",10405,9030,1375,13.214800576645844
"Guayama, PR Metro Area",35158,28396,6762,19.233175948575003
"Gulfport-Biloxi, MS Metro Area",183583,162916,20667,11.257578316075017
"Guymon, OK Micro Area",8443,7376,1067,12.637688025583325
"Hagerstown-Martinsburg, MD-WV Metro Area",123729,112998,10731,8.672986931115584
"Hailey, ID Micro Area",16127,10711,5416,33.58343151237056
"Hammond, LA Metro Area",56685,50961,5724,10.09790949986769
"Hanford-Corcoran, CA Metro Area",46287,44100,2187,4.724868753645732
"Hannibal, MO Micro Area",17875,15616,2259,12.637762237762237
"Harrisburg-Carlisle, PA Metro Area",255481,238249,17232,6.74492428008345
"Harrison, AR Micro Area",21454,18624,2830,13.191013330847396
"Harrisonburg, VA Metro Area",54062,49426,4636,8.57533942510451
"Hartford-East Hartford-Middletown, CT Metro Area",522472,487600,34872,6.6744246581635
"Hastings, NE Micro Area",13806,12690,1116,8.083441981747066
"Hattiesburg, MS Metro Area",74640,66945,7695,10.309485530546624
"Hays, KS Micro Area",13166,11853,1313,9.972656843384476
"Heber, UT Micro Area",40136,26728,13408,33.406418178194144
"Helena, MT Micro Area",38974,35098,3876,9.94509159952789
"Helena-West Helena, AR Micro Area",8315,6890,1425,17.13770294648226
"Henderson, NC Micro Area",19276,17038,2238,11.61029259182403
"Hereford, TX Micro Area",6974,6263,711,10.195010037281332
"Hermiston-Pendleton, OR Micro Area",35815,32586,3229,9.015775513053189
"Hickory-Lenoir-Morganton, NC Metro Area",163160,147185,15975,9.791002696739397
"Hillsdale, MI Micro Area",21396,18062,3334,15.582351841465695
"Hilo, HI Micro Area",88691,73021,15670,17.66808357105005
"Hilton Head Island-Bluffton, SC Metro Area",110930,87645,23285,20.990714865230327
"Hinesville, GA Metro Area",32744,28905,3839,11.724285365257757
"Hobbs, NM Micro Area",27950,25049,2901,10.379248658318426
"Holland, MI Micro Area",51789,45545,6244,12.056614338952286
"Homosassa Springs, FL Metro Area",81687,69438,12249,14.995042050754709
"Hood River, OR Micro Area",10126,8965,1161,11.465534268220424
"Hope, AR Micro Area",13899,11419,2480,17.843010288509966
"Hot Springs, AR Metro Area",52326,42997,9329,17.82861292665214
"Houghton, MI Micro Area",20902,15299,5603,26.806047268203997
"Houma-Thibodaux, LA Metro Area",88254,78523,9731,11.02612912729168
"Houston-The Woodlands-Sugar Land, TX Metro Area",2740182,2509945,230237,8.402252113180804
"Hudson, NY Micro Area",33226,26590,6636,19.972310840907724
"Huntingdon, PA Micro Area",20807,16804,4003,19.238717739222377
"Huntington, IN Micro Area",16217,14765,1452,8.953567244249863
"Huntington-Ashland, WV-KY-OH Metro Area",165754,147207,18547,11.189473557199223
"Huntsville, AL Metro Area",212512,197135,15377,7.235826682728505
"Huntsville, TX Micro Area",28632,24568,4064,14.19390891310422
"Huron, SD Micro Area",9348,8116,1232,13.17928968763372
"Hutchinson, KS Micro Area",28289,25189,3100,10.958323023083178
"Hutchinson, MN Micro Area",15820,15004,816,5.15802781289507
"Idaho Falls, ID Metro Area",56637,53326,3311,5.846001730317637
"Indiana, PA Micro Area",37626,33286,4340,11.534577154095572
"Indianapolis-Carmel-Anderson, IN Metro Area",893492,826470,67022,7.501130396243055
"Indianola, MS Micro Area",9412,8474,938,9.966000849978752
"Iowa City, IA Metro Area",75489,70251,5238,6.938759289432897
"Iron Mountain, MI-WI Micro Area",18518,13721,4797,25.904525326709148
"Ithaca, NY Metro Area",46884,42273,4611,9.834911696954185
"Jackson, MI Metro Area",69025,62567,6458,9.356030423759508
"Jackson, MS Metro Area",257634,230831,26803,10.403518169185745
"Jackson, OH Micro Area",14399,12936,1463,10.16042780748663
"Jackson, TN Metro Area",79252,71713,7539,9.512693685963761
"Jackson, WY-ID Micro Area",19048,13969,5079,26.664216715665685
"Jacksonville, FL Metro Area",690609,628344,62265,9.015955482769556
"Jacksonville, IL Micro Area",17419,15613,1806,10.367988977553248
"Jacksonville, NC Metro Area",84180,69576,14604,17.348538845331433
"Jacksonville, TX Micro Area",20838,17992,2846,13.657740666090795
"Jamestown, ND Micro Area",10374,9084,1290,12.434933487565067
