msa,Population,Unemployment (%),Remote (%),Travel_Time,Household_Income,Worker_Income,msa_id,latitude,longitude,Total_Homes,Occupied_Homes,Vacant_Homes,Vacant_Homes_Percent
"Brownsville-Harlingen, TX Metro Area",421854,5.7,7.2,20.3,47435,28441,15180,26.1291189,-97.4134281,154905,132507,22398,14.459184661566768
"Brownwood, TX Micro Area",38159,3.8,4.2,18.1,53792,33926,15220,31.7525184,-98.9904722,18897,15074,3823,20.23072445361698
"Buffalo-Cheektowaga, NY Metro Area",1163462,5.1,9.4,21.5,67638,42363,15380,42.7164263,-78.7620327,538903,495456,43447,8.062118785755507
"Burley, ID Micro Area",46485,3.1,5.3,16.3,63555,34466,15420,42.2219306,-113.5777087,17056,15870,1186,6.953564727954972
"Burlington, IA-IL Micro Area",45198,3.6,4.2,18.3,58890,36890,15460,40.8156124,-90.9104547,22139,19585,2554,11.536203080536607
"Burlington, NC Metro Area",171779,5.0,8.4,25.9,60866,37142,15500,36.0702678,-79.3992505,73385,67925,5460,7.440212577502214
"Burlington-South Burlington, VT Metro Area",225745,3.8,14.1,22.8,86183,44211,15540,44.4531756,-73.0673673,100992,92140,8852,8.765050697084918
"Butte-Silver Bow, MT Micro Area",35306,4.6,6.4,16.6,56297,32641,15580,45.9009106,-112.6788845,17247,15450,1797,10.419203339711254
"Cadillac, MI Micro Area",48855,6.5,4.8,23.0,58374,34353,15620,44.336979,-85.1070535,25033,19533,5500,21.97099828226741
"Calhoun, GA Micro Area",57785,3.0,6.5,23.4,57555,36385,15660,34.5019651,-84.8986308,22736,21210,1526,6.711822660098522
"Cambridge, MD Micro Area",32557,5.5,6.8,26.5,57490,34958,15700,38.3930694,-76.0995677,16383,13721,2662,16.248550326558018
"Cambridge, OH Micro Area",38409,4.6,3.1,22.9,53901,34202,15740,40.0802222,-81.4859433,19009,16100,2909,15.303277394918195
"Camden, AR Micro Area",27379,6.9,1.7,23.1,50152,34051,15780,33.5556787,-92.5143633,14281,11963,2318,16.231356347594705
"Campbellsville, KY Micro Area",37254,6.1,9.3,24.7,56136,33829,15820,37.2433976,-85.5346302,16469,14777,1692,10.27384783532698
