"Label (Grouping)","Total:","Total:!!Occupied","Total:!!Vacant"
"    Brainerd, MN Micro Area","65,440","40,486","24,954"
"Branson, MO Micro Area","","",""
"    Branson, MO Micro Area","29,391","22,486","6,905"
"Breckenridge, CO Micro Area","","",""
"    Breckenridge, CO Micro Area","31,342","12,939","18,403"
"Bremerton-Silverdale-Port Orchard, WA Metro Area","","",""
"    Bremerton-Silverdale-Port Orchard, WA Metro Area","113,248","105,803","7,445"
"Brenham, TX Micro Area","","",""
"    Brenham, TX Micro Area","16,838","13,906","2,932"
"Brevard, NC Micro Area","","",""
"    Brevard, NC Micro Area","19,025","14,385","4,640"
"Bridgeport-Stamford-Norwalk, CT Metro Area","","",""
"    Bridgeport-Stamford-Norwalk, CT Metro Area","378,479","354,084","24,395"
"Brookhaven, MS Micro Area","","",""
"    Brookhaven, MS Micro Area","15,744","13,939","1,805"
"Brookings, OR Micro Area","","",""
"    Brookings, OR Micro Area","13,018","10,953","2,065"
"Brookings, SD Micro Area","","",""
"    Brookings, SD Micro Area","14,849","13,120","1,729"
"Brownsville, TN Micro Area","","",""
"    Brownsville, TN Micro Area","8,240","7,424","816"
"Brownsville-Harlingen, TX Metro Area","","",""
"    Brownsville-Harlingen, TX Metro Area","154,905","132,507","22,398"
"Brownwood, TX Micro Area","","",""
"    Brownwood, TX Micro Area","18,897","15,074","3,823"
"Brunswick, GA Metro Area","","",""
"    Brunswick, GA Metro Area","56,914","45,935","10,979"
"Bucyrus-Galion, OH Micro Area","","",""
"    Bucyrus-Galion, OH Micro Area","19,865","18,069","1,796"
"Buffalo-Cheektowaga, NY Metro Area","","",""
"    Buffalo-Cheektowaga, NY Metro Area","538,903","495,456","43,447"
"Burley, ID Micro Area","","",""
"    Burley, ID Micro Area","17,056","15,870","1,186"
"Burlington, IA-IL Micro Area","","",""
"    Burlington, IA-IL Micro Area","22,139","19,585","2,554"
"Burlington, NC Metro Area","","",""
"    Burlington, NC Metro Area","73,385","67,925","5,460"
"Burlington-South Burlington, VT Metro Area","","",""
"    Burlington-South Burlington, VT Metro Area","100,992","92,140","8,852"
"Butte-Silver Bow, MT Micro Area","","",""
"    Butte-Silver Bow, MT Micro Area","17,247","15,450","1,797"
"Cadillac, MI Micro Area","","",""
"    Cadillac, MI Micro Area","25,033","19,533","5,500"
"Calhoun, GA Micro Area","","",""
"    Calhoun, GA Micro Area","22,736","21,210","1,526"
"California-Lexington Park, MD Metro Area","","",""
"    California-Lexington Park, MD Metro Area","45,560","41,845","3,715"
"Cambridge, MD Micro Area","","",""
"    Cambridge, MD Micro Area","16,383","13,721","2,662"
"Cambridge, OH Micro Area","","",""
"    Cambridge, OH Micro Area","19,009","16,100","2,909"
"Camden, AR Micro Area","","",""
"    Camden, AR Micro Area","14,281","11,963","2,318"
"Campbellsville, KY Micro Area","","",""
"    Campbellsville, KY Micro Area","16,469","14,777","1,692"
"Cañon City, CO Micro Area","","",""
"    Cañon City, CO Micro Area","20,243","17,871","2,372"
"Canton-Massillon, OH Metro Area","","",""
"    Canton-Massillon, OH Metro Area","180,194","166,457","13,737"
"Cape Coral-Fort Myers, FL Metro Area","","",""
"    Cape Coral-Fort Myers, FL Metro Area","416,332","318,303","98,029"
"Cape Girardeau, MO-IL Metro Area","","",""
"    Cape Girardeau, MO-IL Metro Area","43,679","39,105","4,574"
"Carbondale-Marion, IL Metro Area","","",""
"    Carbondale-Marion, IL Metro Area","65,087","55,915","9,172"
"Carlsbad-Artesia, NM Micro Area","","",""
"    Carlsbad-Artesia, NM Micro Area","26,277","22,751","3,526"
"Carroll, IA Micro Area","","",""
"    Carroll, IA Micro Area","9,490","8,764","726"
"Carson City, NV Metro Area","","",""
"    Carson City, NV Metro Area","24,564","23,419","1,145"
"Casper, WY Metro Area","","",""
"    Casper, WY Metro Area","36,808","32,699","4,109"
"Cedar City, UT Micro Area","","",""
"    Cedar City, UT Micro Area","21,752","18,731","3,021"
"Cedar Rapids, IA Metro Area","","",""
"    Cedar Rapids, IA Metro Area","121,177","113,146","8,031"
"Cedartown, GA Micro Area","","",""
"    Cedartown, GA Micro Area","17,274","15,999","1,275"
"Celina, OH Micro Area","","",""
"    Celina, OH Micro Area","17,888","16,288","1,600"
"Central City, KY Micro Area","","",""
"    Central City, KY Micro Area","13,491","11,955","1,536"
"Centralia, IL Micro Area","","",""
"    Centralia, IL Micro Area","17,358","15,620","1,738"
"Centralia, WA Micro Area","","",""
"    Centralia, WA Micro Area","35,412","31,693","3,719"
"Chambersburg-Waynesboro, PA Metro Area","","",""
"    Chambersburg-Waynesboro, PA Metro Area","66,368","62,067","4,301"
