"Label (Grouping)","Total:","Total:!!Occupied","Total:!!Vacant"
"Steamboat Springs, CO Micro Area","","",""
"    Steamboat Springs, CO Micro Area","16,511","10,388","6,123"
"Stephenville, TX Micro Area","","",""
"    Stephenville, TX Micro Area","18,325","15,858","2,467"
"Sterling, CO Micro Area","","",""
"    Sterling, CO Micro Area","8,668","7,919","749"
"Sterling, IL Micro Area","","",""
"    Sterling, IL Micro Area","25,855","23,556","2,299"
"Stevens Point, WI Micro Area","","",""
"    Stevens Point, WI Micro Area","31,148","29,138","2,010"
"Stillwater, OK Micro Area","","",""
"    Stillwater, OK Micro Area","36,708","30,958","5,750"
"Stockton, CA Metro Area","","",""
"    Stockton, CA Metro Area","251,453","241,119","10,334"
"Storm Lake, IA Micro Area","","",""
"    Storm Lake, IA Micro Area","8,141","7,447","694"
"Sturgis, MI Micro Area","","",""
"    Sturgis, MI Micro Area","27,081","23,557","3,524"
"Sulphur Springs, TX Micro Area","","",""
"    Sulphur Springs, TX Micro Area","15,671","13,947","1,724"
"Summerville, GA Micro Area","","",""
"    Summerville, GA Micro Area","10,854","9,520","1,334"
"Sumter, SC Metro Area","","",""
"    Sumter, SC Metro Area","62,569","54,514","8,055"
"Sunbury, PA Micro Area","","",""
"    Sunbury, PA Micro Area","43,300","37,932","5,368"
"Susanville, CA Micro Area","","",""
"    Susanville, CA Micro Area","12,216","9,888","2,328"
"Sweetwater, TX Micro Area","","",""
"    Sweetwater, TX Micro Area","7,123","5,857","1,266"
"Syracuse, NY Metro Area","","",""
"    Syracuse, NY Metro Area","296,364","268,611","27,753"
"Tahlequah, OK Micro Area","","",""
"    Tahlequah, OK Micro Area","22,033","18,023","4,010"
"Talladega-Sylacauga, AL Micro Area","","",""
"    Talladega-Sylacauga, AL Micro Area","37,948","33,090","4,858"
"Tallahassee, FL Metro Area","","",""
"    Tallahassee, FL Metro Area","172,730","155,677","17,053"
"Tampa-St. Petersburg-Clearwater, FL Metro Area","","",""
"    Tampa-St. Petersburg-Clearwater, FL Metro Area","1,465,158","1,307,725","157,433"
"Taos, NM Micro Area","","",""
"    Taos, NM Micro Area","20,904","15,747","5,157"
"Taylorville, IL Micro Area","","",""
"    Taylorville, IL Micro Area","15,184","13,721","1,463"
"Terre Haute, IN Metro Area","","",""
"    Terre Haute, IN Metro Area","82,185","72,746","9,439"
"Texarkana, TX-AR Metro Area","","",""
"    Texarkana, TX-AR Metro Area","65,358","57,684","7,674"
"The Dalles, OR Micro Area","","",""
"    The Dalles, OR Micro Area","11,996","10,553","1,443"
"The Villages, FL Metro Area","","",""
"    The Villages, FL Metro Area","75,304","62,907","12,397"
"Thomaston, GA Micro Area","","",""
"    Thomaston, GA Micro Area","12,301","11,173","1,128"
"Thomasville, GA Micro Area","","",""
"    Thomasville, GA Micro Area","20,668","18,440","2,228"
"Tiffin, OH Micro Area","","",""
"    Tiffin, OH Micro Area","23,934","22,017","1,917"
"Tifton, GA Micro Area","","",""
"    Tifton, GA Micro Area","17,375","15,921","1,454"
"Toccoa, GA Micro Area","","",""
"    Toccoa, GA Micro Area","12,317","10,618","1,699"
"Toledo, OH Metro Area","","",""
"    Toledo, OH Metro Area","303,295","269,650","33,645"
"Topeka, KS Metro Area","","",""
"    Topeka, KS Metro Area","104,349","94,837","9,512"
"Torrington, CT Micro Area","","",""
"    Torrington, CT Micro Area","87,615","77,502","10,113"
"Traverse City, MI Micro Area","","",""
"    Traverse City, MI Micro Area","84,866","64,738","20,128"
"Trenton-Princeton, NJ Metro Area","","",""
"    Trenton-Princeton, NJ Metro Area","150,442","139,361","11,081"
"Troy, AL Micro Area","","",""
"    Troy, AL Micro Area","15,977","13,901","2,076"
"Truckee-Grass Valley, CA Micro Area","","",""
"    Truckee-Grass Valley, CA Micro Area","53,627","42,774","10,853"
"Tucson, AZ Metro Area","","",""
"    Tucson, AZ Metro Area","470,132","427,021","43,111"
"Tullahoma-Manchester, TN Micro Area","","",""
"    Tullahoma-Manchester, TN Micro Area","47,301","42,246","5,055"
"Tulsa, OK Metro Area","","",""
"    Tulsa, OK Metro Area","437,257","397,385","39,872"
"Tupelo, MS Micro Area","","",""
"    Tupelo, MS Micro Area","72,617","64,214","8,403"
"Tuscaloosa, AL Metro Area","","",""
"    Tuscaloosa, AL Metro Area","121,710","106,925","14,785"
"Twin Falls, ID Metro Area","","",""
"    Twin Falls, ID Metro Area","43,262","40,859","2,403"
"Tyler, TX Metro Area","","",""
"    Tyler, TX Metro Area","97,539","88,567","8,972"
"Ukiah, CA Micro Area","","",""
"    Ukiah, CA Micro Area","41,370","36,280","5,090"
"Union, SC Micro Area","","",""
"    Union, SC Micro Area","13,451","11,622","1,829"
"Union City, TN Micro Area","","",""
"    Union City, TN Micro Area","14,314","12,928","1,386"
"Urbana, OH Micro Area","","",""
"    Urbana, OH Micro Area","16,862","15,638","1,224"
"Urban Honolulu, HI Metro Area","","",""
"    Urban Honolulu, HI Metro Area","370,665","336,412","34,253"
"Utica-Rome, NY Metro Area","","",""
"    Utica-Rome, NY Metro Area","137,254","119,164","18,090"
"Uvalde, TX Micro Area","","",""
"    Uvalde, TX Micro Area","10,034","8,624","1,410"
"Valdosta, GA Metro Area","","",""
"    Valdosta, GA Metro Area","61,597","55,422","6,175"
"Vallejo, CA Metro Area","","",""
"    Vallejo, CA Metro Area","162,237","155,924","6,313"
"Van Wert, OH Micro Area","","",""
"    Van Wert, OH Micro Area","12,540","11,589","951"
"Vermillion, SD Micro Area","","",""
"    Vermillion, SD Micro Area","6,180","5,564","616"
"Vernal, UT Micro Area","","",""
"    Vernal, UT Micro Area","13,657","11,993","1,664"
"Vernon, TX Micro Area","","",""
"    Vernon, TX Micro Area","5,836","4,944","892"
"Vicksburg, MS Micro Area","","",""
"    Vicksburg, MS Micro Area","21,452","18,480","2,972"
"Victoria, TX Metro Area","","",""
"    Victoria, TX Metro Area","42,461","37,266","5,195"
"Vidalia, GA Micro Area","","",""
"    Vidalia, GA Micro Area","15,767","13,662","2,105"
"Vincennes, IN Micro Area","","",""
"    Vincennes, IN Micro Area","16,917","14,783","2,134"
"Vineland-Bridgeton, NJ Metro Area","","",""
"    Vineland-Bridgeton, NJ Metro Area","57,119","52,649","4,470"
"Vineyard Haven, MA Micro Area","","",""
"    Vineyard Haven, MA Micro Area","17,530","8,932","8,598"
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area","","",""
"    Virginia Beach-Norfolk-Newport News, VA-NC Metro Area","760,076","702,160","57,916"
"Visalia, CA Metro Area","","",""
"    Visalia, CA Metro Area","150,652","141,987","8,665"
"Wabash, IN Micro Area","","",""
"    Wabash, IN Micro Area","14,037","12,721","1,316"
"Waco, TX Metro Area","","",""
"    Waco, TX Metro Area","113,237","102,485","10,752"
"Wahpeton, ND-MN Micro Area","","",""
"    Wahpeton, ND-MN Micro Area","10,473","9,445","1,028"
"Walla Walla, WA Metro Area","","",""
"    Walla Walla, WA Metro Area","24,971","23,082","1,889"
"Wapakoneta, OH Micro Area","","",""
"    Wapakoneta, OH Micro Area","19,873","18,602","1,271"
"Warner Robins, GA Metro Area","","",""
"    Warner Robins, GA Metro Area","78,624","72,808","5,816"
"Warren, PA Micro Area","","",""
"    Warren, PA Micro Area","21,587","16,618","4,969"
"Warrensburg, MO Micro Area","","",""
"    Warrensburg, MO Micro Area","22,601","20,321","2,280"
"Warsaw, IN Micro Area","","",""
"    Warsaw, IN Micro Area","38,133","31,196","6,937"
"Washington, IN Micro Area","","",""
"    Washington, IN Micro Area","12,738","11,737","1,001"
"Washington, NC Micro Area","","",""
"    Washington, NC Micro Area","24,090","19,430","4,660"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","","",""
"    Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","2,500,128","2,360,771","139,357"
"Washington Court House, OH Micro Area","","",""
"    Washington Court House, OH Micro Area","12,663","11,752","911"
"Waterloo-Cedar Falls, IA Metro Area","","",""
"    Waterloo-Cedar Falls, IA Metro Area","74,508","68,938","5,570"
"Watertown, SD Micro Area","","",""
"    Watertown, SD Micro Area","15,970","14,181","1,789"
"Watertown-Fort Atkinson, WI Micro Area","","",""
"    Watertown-Fort Atkinson, WI Micro Area","36,376","33,844","2,532"
"Watertown-Fort Drum, NY Metro Area","","",""
"    Watertown-Fort Drum, NY Metro Area","61,604","45,480","16,124"
"Wauchula, FL Micro Area","","",""
"    Wauchula, FL Micro Area","9,820","8,059","1,761"
"Wausau-Weston, WI Metro Area","","",""
"    Wausau-Weston, WI Metro Area","75,862","68,990","6,872"
"Waycross, GA Micro Area","","",""
"    Waycross, GA Micro Area","24,218","21,157","3,061"
"Weatherford, OK Micro Area","","",""
"    Weatherford, OK Micro Area","12,932","10,859","2,073"
"Weirton-Steubenville, WV-OH Metro Area","","",""
"    Weirton-Steubenville, WV-OH Metro Area","56,085","49,945","6,140"
"Wenatchee, WA Metro Area","","",""
"    Wenatchee, WA Metro Area","54,585","45,711","8,874"
"West Plains, MO Micro Area","","",""
"    West Plains, MO Micro Area","18,048","16,117","1,931"
"West Point, MS Micro Area","","",""
"    West Point, MS Micro Area","8,985","7,771","1,214"
"Wheeling, WV-OH Metro Area","","",""
"    Wheeling, WV-OH Metro Area","67,516","58,608","8,908"
"Whitewater, WI Micro Area","","",""
"    Whitewater, WI Micro Area","53,146","42,378","10,768"
"Wichita, KS Metro Area","","",""
"    Wichita, KS Metro Area","275,434","252,298","23,136"
"Wichita Falls, TX Metro Area","","",""
"    Wichita Falls, TX Metro Area","64,513","56,665","7,848"
"Williamsport, PA Metro Area","","",""
"    Williamsport, PA Metro Area","52,625","46,603","6,022"
"Williston, ND Micro Area","","",""
"    Williston, ND Micro Area","20,227","16,095","4,132"
"Willmar, MN Micro Area","","",""
"    Willmar, MN Micro Area","19,950","17,079","2,871"
"Wilmington, NC Metro Area","","",""
"    Wilmington, NC Metro Area","143,295","121,071","22,224"
"Wilmington, OH Micro Area","","",""
"    Wilmington, OH Micro Area","17,906","16,464","1,442"
"Wilson, NC Micro Area","","",""
"    Wilson, NC Micro Area","36,252","32,222","4,030"
"Winchester, VA-WV Metro Area","","",""
"    Winchester, VA-WV Metro Area","60,615","55,089","5,526"
"Winfield, KS Micro Area","","",""
"    Winfield, KS Micro Area","15,558","13,322","2,236"
"Winnemucca, NV Micro Area","","",""
"    Winnemucca, NV Micro Area","7,658","6,575","1,083"
"Winona, MN Micro Area","","",""
"    Winona, MN Micro Area","21,716","20,111","1,605"
"Winston-Salem, NC Metro Area","","",""
"    Winston-Salem, NC Metro Area","301,571","276,135","25,436"
"Wisconsin Rapids-Marshfield, WI Micro Area","","",""
"    Wisconsin Rapids-Marshfield, WI Micro Area","34,549","32,238","2,311"
"Woodward, OK Micro Area","","",""
"    Woodward, OK Micro Area","11,514","9,309","2,205"
"Wooster, OH Micro Area","","",""
"    Wooster, OH Micro Area","46,555","43,983","2,572"
"Worcester, MA-CT Metro Area","","",""
"    Worcester, MA-CT Metro Area","401,354","377,671","23,683"
"Worthington, MN Micro Area","","",""
"    Worthington, MN Micro Area","8,394","7,851","543"
"Yakima, WA Metro Area","","",""
"    Yakima, WA Metro Area","90,504","85,882","4,622"
"Yankton, SD Micro Area","","",""
"    Yankton, SD Micro Area","10,372","9,435","937"
"Yauco, PR Metro Area","","",""
"    Yauco, PR Metro Area","42,322","33,804","8,518"
"York-Hanover, PA Metro Area","","",""
"    York-Hanover, PA Metro Area","187,187","177,553","9,634"
"Youngstown-Warren-Boardman, OH-PA Metro Area","","",""
"    Youngstown-Warren-Boardman, OH-PA Metro Area","253,211","229,461","23,750"
"Yuba City, CA Metro Area","","",""
"    Yuba City, CA Metro Area","63,957","60,070","3,887"
"Yuma, AZ Metro Area","","",""
"    Yuma, AZ Metro Area","92,048","69,589","22,459"
"Zanesville, OH Micro Area","","",""
"    Zanesville, OH Micro Area","38,358","35,091","3,267"
"Zapata, TX Micro Area","","",""
"    Zapata, TX Micro Area","6,159","4,536","1,623"
